Run	# of qubits	# of shots	Fidelity	Runtime per shot (ms)
1	1	8192	0.940800	5.456543
2	1	8192	0.958010	5.505371
3	1	8192	0.970460	5.541992
4	1	8192	0.837036	3.393555
5	1	8192	0.966553	3.332520
6	1	8192	0.962769	3.100586
7	1	8192	0.958740	3.173828
8	1	8192	0.967285	3.161621
9	1	8192	0.833618	3.161621
10	1	8192	0.967651	3.186035
11	1	8192	0.968140	3.173828
12	1	8192	0.969116	3.137207
13	1	8192	0.958496	3.210449
14	1	8192	0.956299	3.149414
15	1	8192	0.947876	3.186035
16	1	8192	0.959351	3.137207
17	1	8192	0.955200	3.173828
18	1	8192	0.969604	3.149414
19	1	2048	0.762700	7.666016
20	1	2048	0.859380	6.933594
21	1	2048	0.954100	7.666016
22	1	2048	0.947270	7.128906
23	1	2048	0.960940	6.982422
24	1	2048	0.953130	7.080078
25	1	1024	0.958980	10.156250
26	2	8192	0.871220	5.493164
27	2	8192	0.773680	5.566406
28	2	8192	0.747190	5.615234
29	2	8192	0.596680	3.393555
30	2	8192	0.776978	3.210449
31	2	8192	0.658203	3.137207
32	2	8192	0.730469	3.149414
33	2	8192	0.760010	3.149414
34	2	8192	0.726807	3.198242
35	2	8192	0.766235	3.173828
36	2	8192	0.774048	3.161621
37	2	8192	0.772461	3.161621
38	2	8192	0.770630	3.173828
39	2	8192	0.767822	3.186035
40	2	8192	0.787231	3.247070
41	2	8192	0.760864	3.210449
42	2	8192	0.770630	3.149414
43	2	8192	0.766113	3.186035
44	2	2048	0.723630	7.958984
45	2	2048	0.701660	8.447266
46	2	2048	0.744630	7.275391
47	2	2048	0.754390	7.128906
48	2	1024	0.767580	10.351563
49	3	8192	0.777950	5.566406
50	3	8192	0.583740	5.700684
51	3	8192	0.573608	3.161621
52	3	8192	0.468384	3.210449
53	3	8192	0.537354	3.198242
54	3	8192	0.543579	3.161621
55	3	8192	0.548218	3.173828
56	3	8192	0.572144	3.222656
57	3	8192	0.568237	3.210449
58	3	8192	0.546997	3.137207
59	3	8192	0.536255	3.173828
60	3	8192	0.588745	3.161621
61	3	8192	0.595215	3.161621
62	3	8192	0.572510	3.210449
63	3	8192	0.569946	3.210449
64	3	8192	0.588257	3.186035
65	3	2048	0.553220	7.128906
66	3	2048	0.562990	7.812500
67	3	2048	0.698240	7.617188
68	3	2048	0.725590	7.812500
69	3	2048	0.717290	7.226563
70	3	1024	0.729490	10.644531
71	4	8192	0.650880	5.578613
72	4	8192	0.476196	5.627441
73	4	8192	0.420044	3.186035
74	4	8192	0.456787	3.222656
75	4	8192	0.503052	3.234863
76	4	8192	0.531250	3.222656
77	4	8192	0.514404	3.210449
78	4	8192	0.546509	3.210449
79	4	8192	0.533081	3.173828
80	4	8192	0.509033	3.173828
81	4	8192	0.531250	3.222656
82	4	8192	0.556274	3.222656
83	4	8192	0.565430	3.222656
84	4	8192	0.552246	3.198242
85	4	8192	0.554565	3.247070
86	4	8192	0.573364	3.173828
87	4	2048	0.690430	7.958984
88	4	2048	0.688480	7.177734
89	4	1024	0.716800	9.960938
90	5	8192	0.580690	5.554199
91	5	8192	0.652950	5.700684
92	5	8192	0.620120	5.566406
93	5	8192	0.622950	5.554199
94	5	8192	0.494263	3.344727
95	5	8192	0.492188	3.259277
96	5	8192	0.442505	3.234863
97	5	8192	0.452271	3.271484
98	5	8192	0.434937	3.222656
99	5	8192	0.507202	3.186035
100	5	8192	0.502808	3.247070
101	5	8192	0.494873	3.222656
102	5	8192	0.474731	3.222656
103	5	8192	0.508545	3.234863
104	5	8192	0.518799	3.222656
105	5	8192	0.511353	3.247070
106	5	8192	0.537964	3.234863
107	5	8192	0.525879	3.198242
108	5	8192	0.527710	3.247070
109	5	2048	0.662600	7.421875
110	5	2048	0.635250	7.275391
111	5	1024	0.659180	10.449219
