Run	# of qubits	# of shots	Fidelity	Runtime per shot (ms)
1	1	8192	0.893550	5.5664063
2	1	8192	0.923710	5.6152344
3	1	8192	0.911865	3.0395508
4	1	8192	0.912476	3.0639648
5	1	8192	0.911621	3.0639648
6	1	8192	0.905396	3.0639648
7	1	8192	0.910278	3.0273438
8	1	8192	0.900757	3.0395508
9	1	8192	0.908813	3.0151367
10	1	8192	0.909790	3.0639648
11	1	8192	0.904663	3.0639648
12	1	8192	0.908569	3.0273438
13	1	8192	0.915527	3.0517578
14	1	8192	0.912109	3.0151367
15	1	8192	0.906494	3.0395508
16	1	8192	0.909302	3.0395508
17	1	8192	0.899048	3.0273438
18	2	8192	0.871220	5.5419922
19	2	8192	0.862920	5.5664063
20	2	8192	0.851074	3.0395508
21	2	8192	0.841675	3.0639648
22	2	8192	0.870605	3.0639648
23	2	8192	0.827515	3.0395508
24	2	8192	0.851318	3.0273438
25	2	8192	0.855347	3.0151367
26	2	8192	0.861694	3.0639648
27	2	8192	0.842651	3.0151367
28	2	8192	0.865845	3.0273438
29	2	8192	0.871094	3.0517578
30	2	8192	0.870361	3.0517578
31	2	8192	0.872192	3.0639648
32	2	8192	0.854858	3.0517578
33	2	8192	0.867554	3.0273438
34	2	8192	0.852905	3.0395508
35	3	8192	0.802370	5.5786133
36	3	8192	0.755249	5.5664063
37	3	8192	0.709595	3.0761719
38	3	8192	0.713013	3.0151367
39	3	8192	0.726685	3.0517578
40	3	8192	0.712280	3.0761719
41	3	8192	0.722534	3.0273438
42	3	8192	0.719238	3.0639648
43	3	8192	0.720093	3.0395508
44	3	8192	0.720337	3.0761719
45	3	8192	0.741211	3.0395508
46	3	8192	0.726807	3.0395508
47	3	8192	0.700439	3.0639648
48	3	8192	0.751343	3.0761719
49	3	8192	0.719604	3.0639648
50	3	8192	0.738403	3.0517578
51	3	8192	0.718506	2.5756836
52	4	8192	0.849610	5.5908203
53	4	8192	0.732060	5.5786133
54	4	8192	0.740479	3.0395508
55	4	8192	0.725220	3.0639648
56	4	8192	0.734253	3.0639648
57	4	8192	0.741943	3.0761719
58	4	8192	0.732300	3.0883789
59	4	8192	0.748169	3.0761719
60	4	8192	0.733521	3.0639648
61	4	8192	0.748169	3.0883789
62	4	8192	0.770630	3.0883789
63	4	8192	0.758545	3.0639648
64	4	8192	0.745483	3.0517578
65	4	8192	0.752563	3.0639648
66	4	8192	0.762329	3.0761719
67	4	8192	0.770142	3.0517578
68	4	8192	0.761353	3.0517578
69	5	8192	0.587520	5.6030273
70	5	8192	0.688720	5.5908203
71	5	8192	0.692871	3.0761719
72	5	8192	0.683594	3.1127930
73	5	8192	0.675415	3.0395508
74	5	8192	0.663696	3.0883789
75	5	8192	0.687744	3.0761719
76	5	8192	0.699829	5.5908203
77	5	8192	0.664429	3.1005859
78	5	8192	0.719116	3.0761719
79	5	8192	0.694458	3.1494141
80	5	8192	0.689087	3.1127930
81	5	8192	0.671265	3.0883789
82	5	8192	0.679932	3.1005859
83	5	8192	0.703369	3.1127930
84	5	8192	0.699097	3.1005859
85	5	8192	0.717407	3.0639648
