	Run	# of qubits	# of shots	Fidelity	Runtime (ms)
	1	1	8192	0.9357900	5.615234375
	2	1	8192	0.9320100	5.651855469
	3	1	8192	0.9392090	3.02734375
	4	1	8192	0.9360352	3.100585938
	5	1	8192	0.9422607	3.063964844
	6	1	8192	0.9454346	3.015136719
	7	1	8192	0.9356689	3.100585938
	8	1	8192	0.9412842	3.051757813
	9	1	8192	0.9460449	3.063964844
	10	1	8192	0.9377441	3.039550781
	11	1	8192	0.9433594	3.051757813
	12	1	8192	0.9398193	3.063964844
	13	1	8192	0.9411621	3.015136719
	14	1	8192	0.9387207	3.039550781
	15	1	8192	0.9404297	3.051757813
	16	1	8192	0.9428711	3.02734375
	17	1	8192	0.9403076	3.002929688
	18	1	2048	0.9497100	6.982421875
	19	1	2048	0.9331100	6.93359375
	20	1	2048	0.9292000	7.12890625
	21	1	2048	0.9160200	7.12890625
	22	1	1024	0.9043000	8.984375
	23	2	8192	0.8670700	5.6640625
	24	2	8192	0.8497314	3.088378906
	25	2	8192	0.8507080	3.039550781
	26	2	8192	0.8542480	3.063964844
	27	2	8192	0.8571777	3.02734375
	28	2	8192	0.8587646	3.088378906
	29	2	8192	0.8477783	3.051757813
	30	2	8192	0.8524170	3.039550781
	31	2	8192	0.8559570	3.039550781
	32	2	8192	0.8533936	3.088378906
	33	2	8192	0.8555908	3.02734375
	34	2	8192	0.8415527	3.039550781
	35	2	8192	0.8459473	3.100585938
	36	2	8192	0.8427734	3.02734375
	37	2	8192	0.8463135	3.063964844
	38	2	8192	0.8323975	3.051757813
	39	2	2048	0.8735400	7.080078125
	40	2	2048	0.8759800	7.12890625
	41	2	2048	0.8730500	7.03125
	42	2	1024	0.8740200	9.1796875
	43	3	8192	0.7984600	5.676269531
	44	3	8192	0.7749023	3.063964844
	45	3	8192	0.7739258	3.051757813
	46	3	8192	0.7696533	3.100585938
	47	3	8192	0.7764893	3.112792969
	48	3	8192	0.7722168	3.051757813
	49	3	8192	0.7803955	3.039550781
	50	3	8192	0.7770996	3.076171875
	51	3	8192	0.7718506	3.063964844
	52	3	8192	0.7696533	3.088378906
	53	3	8192	0.7686768	3.100585938
	54	3	8192	0.7763672	3.100585938
	55	3	8192	0.7833252	3.063964844
	56	3	8192	0.7825928	3.161621094
	57	3	8192	0.7686768	3.063964844
	58	3	8192	0.7503662	3.039550781
	59	3	2048	0.7919900	7.177734375
	60	3	2048	0.7822300	7.080078125
	61	3	2048	0.7846700	7.2265625
	62	3	1024	0.7959000	9.375
	63	4	8192	0.7791700	5.6640625
	64	4	8192	0.7380371	5.688476563
	65	4	8192	0.7264404	3.100585938
	66	4	8192	0.7412109	3.051757813
	67	4	8192	0.7388916	3.112792969
	68	4	8192	0.7485352	3.112792969
	69	4	8192	0.7446289	3.051757813
	70	4	8192	0.7443848	3.076171875
	71	4	8192	0.7382813	3.088378906
	72	4	8192	0.7402344	3.100585938
	73	4	8192	0.7456055	3.125
	74	4	8192	0.7327881	3.100585938
	75	4	8192	0.7398682	3.100585938
	76	4	8192	0.7366943	3.076171875
	77	4	8192	0.7174072	3.100585938
	78	4	8192	0.7404785	3.063964844
	79	4	2048	0.7431600	12.3046875
	80	4	2048	0.7202100	7.2265625
	81	4	1024	0.5752000	9.27734375
	82	4	1024	0.7509800	9.47265625
	83	5	8192	0.6945800	5.700683594
	84	5	8192	0.4458000	5.6640625
	85	5	8192	0.4522700	5.676269531
	86	5	8192	0.6855469	3.088378906
	87	5	8192	0.6873779	3.100585938
	88	5	8192	0.6868896	3.125
	89	5	8192	0.6965332	3.088378906
	90	5	8192	0.6898193	3.088378906
	91	5	8192	0.6990967	3.100585938
	92	5	8192	0.6916504	3.088378906
	93	5	8192	0.6989746	3.100585938
	94	5	8192	0.6849365	3.125
	95	5	8192	0.6850586	3.076171875
	96	5	8192	0.6772461	3.100585938
	97	5	8192	0.6904297	3.125
	98	5	8192	0.6898193	3.100585938
	99	5	8192	0.6802979	3.088378906
	100	5	8192	0.6927490	3.112792969
	101	5	2048	0.6914100	7.12890625
	102	5	2048	0.7104500	7.2265625
	103	5	1024	0.5654300	9.27734375
	104	5	1024	0.7226600	9.375
