Run	# of qubits	# of shots	Fidelity
1	1	8192	0.9357900
2	1	8192	0.9320100
3	1	8192	0.9392090
4	1	8192	0.9360352
5	1	8192	0.9422607
6	1	8192	0.9454346
7	1	8192	0.9356689
8	1	8192	0.9412842
9	1	8192	0.9460449
10	1	8192	0.9377441
11	1	8192	0.9433594
12	1	8192	0.9398193
13	1	8192	0.9411621
14	1	8192	0.9387207
15	1	8192	0.9404297
16	1	8192	0.9428711
17	1	8192	0.9403076
18	1	2048	0.9497100
19	1	2048	0.9331100
20	1	2048	0.9292000
21	1	2048	0.9160200
22	1	1024	0.9043000
23	2	8192	0.8670700
24	2	8192	0.8497314
25	2	8192	0.8507080
26	2	8192	0.8542480
27	2	8192	0.8571777
28	2	8192	0.8587646
29	2	8192	0.8477783
30	2	8192	0.8524170
31	2	8192	0.8559570
32	2	8192	0.8533936
33	2	8192	0.8555908
34	2	8192	0.8415527
35	2	8192	0.8459473
36	2	8192	0.8427734
37	2	8192	0.8463135
38	2	8192	0.8323975
39	2	2048	0.8735400
40	2	2048	0.8759800
41	2	2048	0.8730500
42	2	1024	0.8740200
43	3	8192	0.7984600
44	3	8192	0.7749023
45	3	8192	0.7739258
46	3	8192	0.7696533
47	3	8192	0.7764893
48	3	8192	0.7722168
49	3	8192	0.7803955
50	3	8192	0.7770996
51	3	8192	0.7718506
52	3	8192	0.7696533
53	3	8192	0.7686768
54	3	8192	0.7763672
55	3	8192	0.7833252
56	3	8192	0.7825928
57	3	8192	0.7686768
58	3	8192	0.7503662
59	3	2048	0.7919900
60	3	2048	0.7822300
61	3	2048	0.7846700
62	3	1024	0.7959000
63	4	8192	0.7791700
64	4	8192	0.7380371
65	4	8192	0.7264404
66	4	8192	0.7412109
67	4	8192	0.7388916
68	4	8192	0.7485352
69	4	8192	0.7446289
70	4	8192	0.7443848
71	4	8192	0.7382813
72	4	8192	0.7402344
73	4	8192	0.7456055
74	4	8192	0.7327881
75	4	8192	0.7398682
76	4	8192	0.7366943
77	4	8192	0.7174072
78	4	8192	0.7404785
79	4	2048	0.7431600
80	4	2048	0.7202100
81	4	1024	0.5752000
82	4	1024	0.7509800
83	5	8192	0.6945800
84	5	8192	0.4458000
85	5	8192	0.4522700
86	5	8192	0.6855469
87	5	8192	0.6873779
88	5	8192	0.6868896
89	5	8192	0.6965332
90	5	8192	0.6898193
91	5	8192	0.6990967
92	5	8192	0.6916504
93	5	8192	0.6989746
94	5	8192	0.6849365
95	5	8192	0.6850586
96	5	8192	0.6772461
97	5	8192	0.6904297
98	5	8192	0.6898193
99	5	8192	0.6802979
100	5	8192	0.6927490
101	5	2048	0.6914100
102	5	2048	0.7104500
103	5	1024	0.5654300
104	5	1024	0.7226600
