Run	# of qubits	# of shots	Fidelity
1	1	8192	0.921350
2	1	8192	0.997559
3	1	8192	0.952026
4	1	8192	0.956177
5	1	8192	0.955811
6	1	8192	0.956909
7	1	8192	0.947876
8	1	8192	0.953979
9	1	8192	0.953003
10	1	8192	0.948364
11	1	8192	0.946167
12	1	8192	0.949219
13	1	8192	0.945679
14	1	8192	0.950684
15	1	8192	0.944092
16	1	8192	0.944458
17	1	4096	0.945310
18	1	4096	0.915640
19	1	2048	0.905760
20	1	2048	0.952150
21	1	2048	0.923340
22	1	2048	0.956050
23	1	2048	0.939940
24	1	2048	0.930262
25	2	8192	0.871220
26	2	8192	0.988770
27	2	8192	0.863892
28	2	8192	0.878784
29	2	8192	0.875000
30	2	8192	0.878540
31	2	8192	0.867676
32	2	8192	0.856689
33	2	8192	0.874634
34	2	8192	0.863037
35	2	8192	0.810913
36	2	8192	0.859863
37	2	8192	0.860352
38	2	8192	0.869019
39	2	8192	0.854980
40	2	8192	0.855957
41	2	4096	0.894530
42	2	4096	0.842500
43	2	2048	0.850590
44	2	2048	0.882320
45	2	2048	0.874510
46	2	2048	0.865720
47	2	2048	0.862790
48	2	2048	0.893550
49	2	2048	0.875000
50	3	8192	0.777950
51	3	8192	0.981200
52	3	8192	0.740500
53	3	8192	0.782104
54	3	8192	0.835205
55	3	8192	0.830322
56	3	8192	0.786133
57	3	8192	0.825562
58	3	8192	0.824219
59	3	8192	0.819946
60	3	8192	0.794678
61	3	8192	0.815674
62	3	8192	0.797241
63	3	8192	0.829346
64	3	8192	0.806763
65	3	8192	0.806885
66	3	4096	0.844240
67	3	4096	0.804900
68	3	2048	0.785640
69	3	2048	0.822270
70	3	2048	0.794920
71	3	2048	0.854490
72	3	2048	0.821290
73	3	2048	0.841310
74	3	2048	0.831050
75	4	8192	0.650880
76	4	8192	0.875977
77	4	8192	0.666748
78	4	8192	0.704956
79	4	8192	0.741821
80	4	8192	0.739868
81	4	8192	0.743774
82	4	8192	0.749146
83	4	8192	0.752441
84	4	8192	0.753418
85	4	8192	0.726807
86	4	8192	0.741943
87	4	8192	0.716553
88	4	8192	0.758423
89	4	8192	0.718384
90	4	8192	0.737061
91	4	4096	0.698730
92	4	4096	0.732200
93	4	2048	0.715330
94	4	2048	0.724120
95	4	2048	0.714840
96	4	2048	0.726070
97	4	2048	0.738280
98	4	2048	0.740230
99	4	2048	0.729490
100	5	8192	0.429690
101	5	8192	0.405520
102	5	8192	0.432010
103	5	8192	0.280760
104	5	8192	0.397580
105	5	8192	0.430300
106	5	8192	0.535280
107	5	8192	0.580690
108	5	8192	0.856934
109	5	8192	0.674561
110	5	8192	0.659058
111	5	8192	0.702637
112	5	8192	0.696533
113	5	8192	0.692139
114	5	8192	0.707275
115	5	8192	0.679932
116	5	8192	0.688477
117	5	8192	0.629761
118	5	8192	0.693604
119	5	8192	0.684692
120	5	8192	0.721558
121	5	8192	0.685913
122	5	8192	0.694336
123	5	4096	0.652830
124	5	4096	0.667900
125	5	2048	0.634770
126	5	2048	0.652830
127	5	2048	0.634280
128	5	2048	0.646970
129	5	2048	0.678220
130	5	2048	0.689940
131	5	2048	0.679690
132	6	8192	0.305660
133	6	8192	0.842529
134	6	8192	0.596436
135	6	8192	0.581909
136	6	8192	0.564941
137	6	8192	0.601318
138	6	8192	0.590332
139	6	8192	0.588257
140	6	8192	0.589966
141	6	8192	0.577026
142	6	8192	0.549561
143	6	8192	0.575439
144	6	8192	0.544312
145	6	8192	0.573730
146	6	8192	0.558472
147	6	8192	0.575684
148	6	8192	0.565918
149	6	4096	0.531490
150	6	4096	0.596400
151	6	2048	0.537600
152	6	2048	0.537600
153	6	2048	0.537110
154	6	2048	0.564450
155	6	2048	0.520510
156	7	8192	0.817871
157	7	8192	0.499500
158	7	8192	0.441162
159	7	8192	0.448608
160	7	8192	0.470703
161	7	8192	0.465698
162	7	8192	0.461548
163	7	8192	0.469360
164	7	8192	0.463989
165	7	8192	0.444702
166	7	8192	0.470581
167	7	8192	0.449097
168	7	8192	0.436401
169	7	8192	0.434814
170	7	8192	0.446655
171	7	8192	0.446655
172	7	2048	0.490230
173	7	2048	0.467290
174	7	2048	0.507320
175	7	2048	0.489750
176	7	2048	0.506840
177	8	8192	0.346920
178	8	8192	0.777588
179	8	8192	0.400024
180	8	8192	0.391235
181	8	8192	0.408203
182	8	8192	0.433716
183	8	8192	0.398804
184	8	8192	0.421753
185	8	8192	0.420288
186	8	8192	0.407593
187	8	8192	0.405273
188	8	8192	0.409180
189	8	8192	0.392944
190	8	8192	0.404419
191	8	8192	0.421631
192	8	8192	0.409180
193	8	4096	0.452390
194	8	4096	0.432600
195	8	4096	0.456540
196	8	2048	0.451170
197	8	2048	0.405760
198	8	2048	0.412600
199	9	8192	0.720947
200	9	8192	0.405270
201	9	8192	0.296631
202	9	8192	0.272583
203	9	8192	0.302124
204	9	8192	0.310913
205	9	8192	0.277466
206	9	8192	0.302002
207	9	8192	0.303101
208	9	8192	0.266602
209	9	8192	0.288452
210	9	8192	0.289429
211	9	8192	0.300415
212	9	8192	0.280762
213	9	8192	0.293701
214	9	8192	0.293701
215	9	4096	0.396240
216	9	2048	0.411130
217	9	2048	0.421390
218	9	2048	0.368650
219	10	8192	0.219120
220	10	8192	0.164670
221	10	8192	0.169430
222	10	8192	0.326050
223	10	8192	0.236940
224	10	8192	0.311520
225	10	8192	0.644000
226	10	8192	0.270142
227	10	8192	0.274292
228	10	8192	0.218750
229	10	8192	0.276489
230	10	8192	0.274536
231	10	8192	0.281006
232	10	8192	0.285034
233	10	8192	0.260986
234	10	8192	0.279175
235	10	8192	0.290161
236	10	8192	0.281494
237	10	8192	0.243408
238	10	8192	0.255737
239	10	8192	0.262817
240	10	4096	0.323000
241	10	4096	0.300780
242	10	2048	0.301270
243	10	2048	0.310060
244	10	2048	0.276370
245	10	1024	0.254880
246	11	8192	0.198360
247	11	8192	0.639404
248	11	8192	0.270630
249	11	8192	0.250732
250	11	8192	0.265259
251	11	8192	0.256836
252	11	8192	0.261963
253	11	8192	0.228760
254	11	8192	0.262695
255	11	8192	0.193237
256	11	8192	0.260864
257	11	8192	0.254761
258	11	8192	0.260132
259	11	8192	0.241699
260	11	8192	0.247559
261	11	8192	0.255249
262	11	4096	0.369630
263	11	2048	0.330570
264	11	2048	0.342770
265	11	2048	0.278810
266	11	2048	0.337890
267	11	1024	0.269530
268	12	8192	0.623291
269	12	8192	0.241210
270	12	8192	0.222168
271	12	8192	0.231445
272	12	8192	0.237305
273	12	8192	0.251221
274	12	8192	0.230957
275	12	8192	0.210327
276	12	8192	0.244019
277	12	8192	0.200073
278	12	8192	0.236938
279	12	8192	0.241455
280	12	8192	0.250366
281	12	8192	0.184814
282	12	8192	0.239624
283	12	8192	0.238525
284	12	4096	0.321040
285	12	2048	0.270020
286	12	2048	0.290040
287	12	2048	0.250000
288	12	1024	0.233400
289	13	8192	0.523438
290	13	8192	0.222900
291	13	8192	0.224731
292	13	8192	0.218018
293	13	8192	0.236084
294	13	8192	0.230103
295	13	8192	0.181152
296	13	8192	0.244263
297	13	8192	0.181641
298	13	8192	0.231079
299	13	8192	0.199707
300	13	8192	0.227539
301	13	8192	0.173706
302	13	8192	0.219238
303	13	8192	0.187256
304	13	4096	0.256840
305	13	2048	0.209470
306	13	2048	0.233890
307	13	2048	0.207030
308	13	2048	0.203130
309	13	1024	0.209960
310	14	8192	0.119750
311	14	8192	0.421631
312	14	8192	0.194824
313	14	8192	0.202148
314	14	8192	0.189941
315	14	8192	0.188843
316	14	8192	0.185059
317	14	8192	0.177612
318	14	8192	0.204468
319	14	8192	0.150513
320	14	8192	0.205933
321	14	8192	0.200195
322	14	8192	0.188599
323	14	8192	0.137207
324	14	8192	0.200806
325	14	8192	0.203247
326	14	4096	0.189700
327	14	2048	0.146970
328	14	2048	0.186040
329	14	2048	0.161620
330	14	2048	0.161130
331	14	1024	0.157230
332	15	8192	0.135990
333	15	8192	0.124150
334	15	8192	0.130250
335	15	8192	0.129270
336	15	8192	0.101440
337	15	8192	0.104740
338	15	8192	0.131100
339	15	8192	0.114620
340	15	8192	0.115600
341	15	8192	0.120000
342	15	8192	0.128540
343	15	8192	0.142210
344	15	8192	0.154910
345	15	8192	0.179570
346	15	8192	0.378662
347	15	8192	0.168823
348	15	8192	0.170288
349	15	8192	0.172852
350	15	8192	0.175293
351	15	8192	0.175171
352	15	8192	0.154907
353	15	8192	0.178223
354	15	8192	0.130859
355	15	8192	0.165283
356	15	8192	0.183960
357	15	8192	0.172363
358	15	8192	0.122070
359	15	8192	0.177612
360	15	8192	0.164551
361	15	4096	0.166990
362	15	2048	0.153810
363	15	1024	0.134770
