Run	# of qubits	# of shots	Fidelity	Runtime per shot (ms)
1	1	8192	0.970459	5.45654
2	1	8192	0.970622	5.44434
3	1	8192	0.968140	2.97852
4	1	8192	0.970337	2.91748
5	1	8192	0.968628	2.91748
6	1	8192	0.972168	2.96631
7	1	8192	0.968872	3.00293
8	1	8192	0.969849	2.88086
9	1	8192	0.969482	2.92969
10	1	8192	0.969971	2.90527
11	1	8192	0.972290	2.89307
12	1	8192	0.972046	2.90527
13	1	8192	0.973022	3.00293
14	1	8192	0.970825	3.01514
15	1	8192	0.971436	2.94189
16	1	8192	0.972412	2.92969
17	1	8192	0.969849	2.90527
18	1	2048	0.969730	6.49414
19	1	2048	0.962890	6.59180
20	1	2048	0.957000	6.54297
21	1	1024	0.967770	8.20313
22	2	8192	0.923828	5.43213
23	2	8192	0.929891	5.40771
24	2	8192	0.927368	2.99072
25	2	8192	0.930786	2.92969
26	2	8192	0.926392	2.94189
27	2	8192	0.930176	3.02734
28	2	8192	0.930908	2.99072
29	2	8192	0.929810	2.90527
30	2	8192	0.933228	2.88086
31	2	8192	0.932861	2.91748
32	2	8192	0.930786	2.92969
33	2	8192	0.927124	2.91748
34	2	8192	0.933228	3.02734
35	2	8192	0.927002	2.92969
36	2	8192	0.931030	2.95410
37	2	8192	0.927124	2.92969
38	2	8192	0.930542	3.01514
39	2	2048	0.934080	6.54297
40	2	2048	0.905760	6.64063
41	2	2048	0.915040	6.59180
42	2	1024	0.920900	8.20313
43	3	8192	0.892090	5.41992
44	3	8192	0.897225	5.44434
45	3	8192	0.890381	2.94189
46	3	8192	0.888306	2.92969
47	3	8192	0.894775	3.02734
48	3	8192	0.895142	3.03955
49	3	8192	0.903076	3.06396
50	3	8192	0.896851	2.94189
51	3	8192	0.891724	3.03955
52	3	8192	0.903687	2.94189
53	3	8192	0.895752	2.90527
54	3	8192	0.898804	2.90527
55	3	8192	0.892456	3.05176
56	3	8192	0.900879	2.95410
57	3	8192	0.902832	2.90527
58	3	8192	0.901001	2.92969
59	3	8192	0.902710	2.90527
60	3	2048	0.910640	6.64063
61	3	2048	0.861820	6.73828
62	3	2048	0.881840	6.64063
63	3	1024	0.697270	8.30078
64	4	8192	0.856079	5.43213
65	4	8192	0.866919	5.40771
66	4	8192	0.866455	2.97852
67	4	8192	0.859741	2.94189
68	4	8192	0.864258	3.03955
69	4	8192	0.863525	3.03955
70	4	8192	0.868530	3.06396
71	4	8192	0.870361	2.91748
72	4	8192	0.870239	2.95410
73	4	8192	0.874146	2.92969
74	4	8192	0.859863	2.94189
75	4	8192	0.873169	3.05176
76	4	8192	0.863892	2.95410
77	4	8192	0.873047	2.92969
78	4	8192	0.867798	2.96631
79	4	8192	0.864014	2.92969
80	4	8192	0.864746	3.08838
81	4	2048	0.868160	6.78711
82	4	2048	0.791990	6.68945
83	4	2048	0.781740	6.68945
84	4	1024	0.700200	8.49609
85	5	8192	0.727417	5.40771
86	5	8192	0.703980	5.45654
87	5	8192	0.731930	5.44434
88	5	8192	0.753719	3.01514
89	5	8192	0.764282	2.96631
90	5	8192	0.769409	2.90527
91	5	8192	0.740723	3.05176
92	5	8192	0.730225	3.10059
93	5	8192	0.734741	2.92969
94	5	8192	0.731689	2.94189
95	5	8192	0.750244	2.94189
96	5	8192	0.785156	2.96631
97	5	8192	0.758179	2.94189
98	5	8192	0.768066	3.02734
99	5	8192	0.741211	2.91748
100	5	8192	0.773560	3.03955
101	5	8192	0.756714	2.94189
102	5	8192	0.771484	2.94189
103	5	8192	0.730103	2.95410
104	5	2048	0.677250	6.78711
105	5	2048	0.669920	6.78711
106	5	1024	0.577150	8.30078
