Run	# of qubits	# of shots	Fidelity	Runtime per shot (ms)
1	1	8192	0.97644043	2.9052734
2	1	8192	0.93713000	5.3955078
3	1	8192	0.97558500	5.4443359
4	1	8192	0.97705078	2.9785156
5	1	8192	0.89335000	5.4321289
6	1	8192	0.97558594	3.0151367
7	1	8192	0.97631836	2.8808594
8	1	8192	0.97631836	2.9174805
9	1	8192	0.97692871	2.9052734
10	1	8192	0.97509766	2.9296875
11	1	8192	0.97778320	2.9174805
12	1	8192	0.97814941	2.9296875
13	1	8192	0.97766113	3.0151367
14	1	8192	0.97546387	2.9174805
15	1	8192	0.97839355	2.9296875
16	1	8192	0.97888184	2.9052734
17	1	8192	0.98059082	2.9907227
18	1	8192	0.97546387	2.9052734
19	2	8192	0.87122000	5.4443359
20	2	8192	0.90906000	5.4077148
21	2	8192	0.95837402	5.4199219
22	2	8192	0.95239258	3.0273438
23	2	8192	0.95507813	3.0273438
24	2	8192	0.94396973	2.9418945
25	2	8192	0.94702148	2.9174805
26	2	8192	0.94934082	2.9663086
27	2	8192	0.94482422	2.9296875
28	2	8192	0.95117188	2.9663086
29	2	8192	0.94226074	2.9785156
30	2	8192	0.94714355	2.9907227
31	2	8192	0.95593262	3.0029297
32	2	8192	0.95324707	2.9174805
33	2	8192	0.95520020	2.9541016
34	2	8192	0.96166992	3.0273438
35	2	8192	0.95556641	2.9174805
36	2	8192	0.95556641	2.9418945
37	3	8192	0.80237000	5.4321289
38	3	8192	0.85363770	5.3955078
39	3	8192	0.86669922	5.3955078
40	3	8192	0.85241699	3.0395508
41	3	8192	0.85522461	3.0395508
42	3	8192	0.86230469	2.9174805
43	3	8192	0.84729004	2.9296875
44	3	8192	0.86108398	3.0151367
45	3	8192	0.85009766	2.9907227
46	3	8192	0.85083008	3.0761719
47	3	8192	0.84448242	3.0395508
48	3	8192	0.86682129	2.9418945
49	3	8192	0.86474609	3.0029297
50	3	8192	0.86376953	2.9418945
51	3	8192	0.84802246	3.0151367
52	3	8192	0.86474609	2.9418945
53	3	8192	0.86120605	3.0151367
54	3	8192	0.84020996	2.9418945
55	4	8192	0.84961000	5.4321289
56	4	8192	0.83666000	5.4443359
57	4	8192	0.90710449	5.4565430
58	4	8192	0.90063477	3.0517578
59	4	8192	0.90539551	3.0761719
60	4	8192	0.90698242	2.9541016
61	4	8192	0.90417480	2.9541016
62	4	8192	0.90234375	3.0517578
63	4	8192	0.90539551	2.9785156
64	4	8192	0.91186523	3.0273438
65	4	8192	0.89343262	3.0273438
66	4	8192	0.89929199	2.9418945
67	4	8192	0.91931152	2.9418945
68	4	8192	0.90954590	2.9541016
69	4	8192	0.91491699	2.9663086
70	4	8192	0.90954590	2.9418945
71	4	8192	0.90466309	2.9296875
72	4	8192	0.90979004	2.9418945
73	5	8192	0.80944000	5.4565430
74	5	8192	0.88903809	5.4687500
75	5	8192	0.87597656	3.0639648
76	5	8192	0.88525391	2.9663086
77	5	8192	0.87402344	2.9418945
78	5	8192	0.87182617	2.9785156
79	5	8192	0.87414551	3.0517578
80	5	8192	0.88647461	2.9785156
81	5	8192	0.88562012	2.9663086
82	5	8192	0.89270020	2.9418945
83	5	8192	0.88781738	3.0883789
84	5	8192	0.88940430	2.9663086
85	5	8192	0.88525391	2.9418945
86	5	8192	0.89147949	3.039550781
87	5	8192	0.88842773	2.917480469
88	5	8192	0.88610840	3.015136719
89	5	8192	0.88574219	2.954101563
