Run	# of qubits	# of shots	Fidelity	Runtime per shot (ms)
1	1	8192	0.980960	5.261230
2	1	8192	0.960450	5.285645
3	1	8192	0.971800	5.236816
4	1	8192	0.967290	5.261230
5	1	8192	0.976807	2.758789
6	1	8192	0.972778	2.758789
7	1	8192	0.970947	2.783203
8	1	8192	0.976318	2.795410
9	1	8192	0.971680	2.758789
10	1	8192	0.971802	2.770996
11	1	8192	0.981201	2.795410
12	1	8192	0.975952	2.807617
13	1	8192	0.976074	2.795410
14	1	8192	0.975830	2.795410
15	1	8192	0.978394	2.795410
16	1	8192	0.978149	2.795410
17	1	8192	0.981934	2.770996
18	1	8192	0.981812	2.770996
19	1	8192	0.979004	2.783203
20	1	2048	0.979490	5.957031
21	1	2048	0.980470	6.054688
22	1	1024	0.972660	6.835938
23	2	8192	0.951290	5.236816
24	2	8192	0.942990	5.261230
25	2	8192	0.964230	5.249023
26	2	8192	0.942993	2.770996
27	2	8192	0.940796	2.795410
28	2	8192	0.944092	2.770996
29	2	8192	0.942871	2.783203
30	2	8192	0.948608	2.795410
31	2	8192	0.946411	2.783203
32	2	8192	0.945190	2.783203
33	2	8192	0.944702	2.795410
34	2	8192	0.949097	2.783203
35	2	8192	0.944336	2.783203
36	2	8192	0.953125	2.807617
37	2	8192	0.946289	2.807617
38	2	8192	0.948853	2.526855
39	2	8192	0.951416	2.795410
40	2	8192	0.950317	2.770996
41	2	2048	0.950680	6.054688
42	2	2048	0.958010	6.103516
43	2	1024	0.944340	6.933594
44	2	1024	0.959960	6.933594
45	2	1024	0.956050	7.128906
46	3	8192	0.935790	5.261230
47	3	8192	0.922120	5.273438
48	3	8192	0.937620	5.285645
49	3	8192	0.918213	2.783203
50	3	8192	0.926758	2.807617
51	3	8192	0.932129	2.807617
52	3	8192	0.919800	2.795410
53	3	8192	0.928223	2.819824
54	3	8192	0.927124	2.783203
55	3	8192	0.926270	2.807617
56	3	8192	0.922485	2.807617
57	3	8192	0.931274	2.832031
58	3	8192	0.932007	2.770996
59	3	8192	0.928711	2.783203
60	3	8192	0.932373	2.795410
61	3	8192	0.929077	2.783203
62	3	8192	0.931274	2.807617
63	3	8192	0.929199	2.795410
64	3	2048	0.939940	6.005859
65	3	2048	0.911300	6.054688
66	3	1024	0.930660	7.031250
67	3	1024	0.942380	7.421875
68	3	1024	0.933590	7.128906
69	3	1024	0.942380	6.933594
70	3	1024	0.933590	7.421875
71	3	1024	0.931640	7.128906
72	3	1024	0.944340	7.226563
73	3	1024	0.915040	7.128906
74	4	8192	0.899170	5.310059
75	4	8192	0.886720	5.297852
76	4	8192	0.902590	5.285645
77	4	8192	0.900879	2.807617
78	4	8192	0.897461	2.770996
79	4	8192	0.888916	2.795410
80	4	8192	0.895508	2.807617
81	4	8192	0.899658	2.819824
82	4	8192	0.882568	2.795410
83	4	8192	0.908325	2.807617
84	4	8192	0.902588	2.819824
85	4	8192	0.909180	2.807617
86	4	8192	0.909668	2.807617
87	4	8192	0.898438	2.844238
88	4	8192	0.898926	2.770996
89	4	8192	0.900635	2.783203
90	4	8192	0.903809	2.819824
91	4	8192	0.893311	2.795410
92	4	2048	0.860350	6.103516
93	4	2048	0.868160	6.103516
94	4	1024	0.887700	7.226563
95	4	1024	0.793950	7.226563
96	4	1024	0.875000	7.421875
97	4	1024	0.869140	7.324219
98	5	8192	0.865230	5.297852
99	5	8192	0.857670	5.273438
100	5	8192	0.828980	5.285645
101	5	8192	0.837160	5.297852
102	5	8192	0.832890	5.261230
103	5	8192	0.840580	5.297852
104	5	8192	0.897220	5.297852
105	5	8192	0.863403	2.819824
106	5	8192	0.854980	2.807617
107	5	8192	0.850830	2.795410
108	5	8192	0.867432	2.819824
109	5	8192	0.842529	2.795410
110	5	8192	0.870728	2.819824
111	5	8192	0.872437	2.807617
112	5	8192	0.811279	2.807617
113	5	8192	0.880127	2.832031
114	5	8192	0.819946	2.819824
115	5	8192	0.871704	2.819824
116	5	8192	0.873657	2.832031
117	5	8192	0.843750	2.807617
118	5	8192	0.811401	2.819824
119	5	8192	0.871826	2.795410
120	5	2048	0.822270	6.103516
121	5	2048	0.836430	6.152344
122	5	1024	0.858400	7.226563
123	5	1024	0.829100	7.226563
124	5	1024	0.842770	7.226563
125	5	1024	0.838770	7.324219
126	5	1024	0.848630	7.128906
